"bpt","lgm_tot_p50","logM200_L","RprojLW_Rvir","sfr_tot_p50","color_gr","zoo","distance","weights"
0,1.74798226,-0.257199743,-0.960218978,-0.0527589131,0.78468941,"E",0.87215514,1
0,-0.414773119,-0.239955331,-0.957190986,-1.2015884438,0.60427626,"E",0.73684652,1
1,1.790156187,-1.217851469,-0.860219744,-0.5686822202,0.66994421,"E",0.79215381,1
0,1.830996072,-0.387050168,-0.805846223,-0.4410024354,0.55861252,"E",0.78764679,1
1,-0.061312558,-0.418366021,-0.85519834,-1.0632126832,0.62219585,"E",0.75386651,1
0,1.605846121,-1.143148675,-0.975864079,-0.6319043751,0.52803307,"E",0.7582699,1
0,1.888147655,-1.143148675,-1.035847805,-0.461786212,0.62651217,"E",0.79651714,1
0,2.963416038,-0.072236176,-0.964835196,-0.1514576907,0.80269015,"E",0.84365444,1
1,0.896711701,-0.770014079,-0.757996334,-1.113683562,0.78461333,"E",0.75619071,1
1,1.495757315,1.110178694,-0.707351579,-0.8213821396,0.51665137,"E",0.72774068,1
1,1.736188114,-0.982879106,-0.978682525,-1.0393064313,0.93403112,"E",0.77777705,1
0,3.225615981,0.001362977,-0.931813475,-0.6579424271,0.62517822,"E",0.73241352,1
0,-0.462556088,-0.036643708,-0.841154938,-0.6999065053,0.2817491,"E",0.74784451,1
1,1.229312693,-0.450061251,-0.975333271,-0.7590869098,1.03702942,"E",0.84354709,1
1,1.653992919,-0.032987893,-0.723309973,-0.7732547109,1.10448781,"E",0.84450346,1
0,1.242319605,1.562361676,-0.603055338,-1.0039494036,0.77779648,"E",0.76299352,1
1,0.695695788,1.562361676,-0.616265067,1.0404877532,0.2364759,"E",0.91376305,1
0,0.678535153,-1.209470685,-0.859473711,-0.7917906623,0.28202806,"E",0.70018332,1
1,-0.351648665,-0.719039596,-0.77525,-1.3943161836,0.73104731,"E",0.73196466,1
0,2.647399618,-0.719039596,-0.997559216,-0.4540520614,0.52380805,"E",0.75838143,1
1,-0.435420455,-0.34504278,-0.512723582,-1.0412622815,0.61432401,"E",0.7652285,1
1,-0.731274646,-0.00284466,-0.408072521,-0.6578786771,0.24571212,"E",0.75373883,1
1,0.381286282,-0.00284466,-0.752622076,-0.8618340677,0.66051526,"E",0.78148784,1
1,1.850551919,0.826370155,-0.926728155,-0.5947508722,0.56658072,"E",0.76599091,1
0,1.436271158,0.639164814,-0.777269018,-0.8377225409,1.30591956,"E",0.87034951,1
1,1.090541978,-0.809883161,-0.928594327,-0.8152481141,0.93313843,"E",0.82264652,1
0,1.680916318,-0.494931212,-0.960361912,0.3942322786,0.89869915,"E",0.9202675,1
1,-0.156726899,-0.858443426,-0.736455277,-1.1117468369,0.61019536,"E",0.74595428,1
0,-0.302228463,-0.511589315,-1.014307999,-1.3163129526,1.82764678,"E",0.91306488,1
0,1.92968488,-1.483691331,-0.968115201,-0.6771503035,0.77179623,"E",0.79331673,1
0,0.836861714,-0.685792369,-0.793927132,-0.3864337062,0.73559188,"E",0.84621538,1
0,2.101078992,-0.628471942,-0.854370555,-0.4389637103,0.52636436,"E",0.77498247,1
0,0.861086709,1.624027695,-0.687829552,-1.100758886,0.63942563,"E",0.72662348,1
1,1.756107791,1.624027695,-0.481358131,-0.5289085922,0.50287059,"E",0.76506915,1
0,2.025281136,-0.394879132,-0.954195695,-0.6212249743,0.68800582,"E",0.78263416,1
1,2.693848544,0.570428586,-0.88986311,-0.7186056567,0.90378136,"E",0.79525378,1
0,0.388168727,-0.277375706,-0.893500805,-1.2229026204,0.58745224,"E",0.70653155,1
0,1.460708387,-0.277375706,-0.645645042,-0.7345176579,0.81054676,"E",0.80336415,1
0,1.30717225,0.104691496,-0.666293516,-0.6481160013,0.53795909,"E",0.76549526,1
0,1.13926484,-0.780602148,-0.810313474,-0.7287584825,0.61829544,"E",0.77416335,1
0,0.20103898,-1.3387348,-0.904714641,-0.6197000741,0.4952625,"E",0.78801331,1
1,0.782651088,-1.258996637,-0.517253053,-0.696061105,0.8276396,"E",0.82576461,1
1,2.727078324,-0.46389127,-0.976914095,-0.5867884966,0.64601424,"E",0.76177811,1
0,1.416078609,-0.209225788,-1.036951721,-0.8410821661,0.51605794,"E",0.726483,1
0,2.691271417,0.422023173,-0.508849067,0.0168300822,0.44272611,"E",0.8093026,1
0,1.345829157,0.065374235,-0.752761016,-0.1511300157,0.53701569,"E",0.83227698,1
1,0.073819859,1.572673835,-0.845802888,-0.7249411322,0.58203529,"E",0.79293173,1
0,0.934640948,-0.269477765,-0.829189842,-0.5337994925,0.50514287,"E",0.78496163,1
0,-0.536080008,0.367599807,-0.955932351,-0.9331473732,0.71053083,"E",0.8023739,1
0,-0.356499728,-1.155426696,-0.97714852,-1.1342391136,0.67241938,"E",0.7611634,1
0,-0.435844923,0.207502682,-0.52599159,-0.5380184679,0.33881991,"E",0.78396686,1
0,-0.431751839,-1.198020395,-0.54724452,-1.2601836233,0.61868091,"E",0.73082096,1
0,-8.767129863,-1.576052404,-0.804840037,-2.5397520464,0.28377792,"E",0.66466305,1
1,0.012575192,-0.72362661,-0.940761517,-0.7985558129,0.53780693,"E",0.77493509,1
1,1.71936099,-0.96484145,-0.933630415,-0.5719742705,0.51782809,"E",0.76252049,1
0,1.656539727,-0.37146122,-0.812293856,-0.6383291006,0.63228925,"E",0.77781201,1
0,0.861996283,0.565979528,-0.801796261,-1.0422580565,0.92357253,"E",0.79592892,1
1,-0.339157178,-0.963841275,-0.999413295,-1.0648574333,0.24925241,"E",0.67244823,1
0,2.344693301,-0.549423556,-0.979439574,-0.4730444629,1.02983217,"E",0.85373265,1
1,0.197218769,1.248271949,-0.914957378,-1.2454178471,0.50325606,"E",0.68726863,1
1,2.305187458,1.248271949,-0.54118124,-0.6080746232,0.68620016,"E",0.77743976,1
