"bpt","lgm_tot_p50","sfr_tot_p50","color_gr","mytype"
"NoAGN",0.61,-0.98,0.86,"matched"
"NoAGN",2.15,-0.52,0.58,"matched"
"AGN",0.6,-0.69,0.38,"matched"
"NoAGN",2.14,0.14,0.54,"matched"
"AGN",0.66,-0.71,0.96,"matched"
"AGN",0.58,-0.72,0.75,"matched"
"AGN",0.22,-0.52,0.4,"matched"
"NoAGN",-0.14,-0.21,0.18,"matched"
"NoAGN",0.56,-0.03,0.15,"matched"
"NoAGN",1.75,-0.05,0.78,"matched"
"NoAGN",0.94,-1.12,0.74,"matched"
"NoAGN",0.88,0.92,-0.81,"matched"
"AGN",0.74,0.47,0.62,"matched"
"NoAGN",1.86,-0.7,0.58,"matched"
"NoAGN",1.07,-0.13,0.74,"matched"
"AGN",1.79,-0.57,0.67,"matched"
"AGN",0.57,0.89,0.21,"matched"
"NoAGN",-0.06,-0.84,0.58,"matched"
"AGN",-0.57,0.8,-0.04,"matched"
"NoAGN",0.76,-0.48,0.48,"matched"
"NoAGN",0.45,-0.93,0.37,"matched"
"NoAGN",0.11,-0.18,0.94,"matched"
"NoAGN",1.8,-0.6,0.73,"matched"
"NoAGN",1.08,-0.47,0.54,"matched"
"NoAGN",1.16,0.57,0.8,"matched"
"NoAGN",-0.1,0.72,0.46,"matched"
"NoAGN",0.14,0.75,0.7,"matched"
"NoAGN",-0.78,0.89,-1.2,"matched"
"NoAGN",1.35,-0.5,0.48,"matched"
"NoAGN",-0.72,-0.33,0.24,"matched"
"NoAGN",0.27,0.36,0.37,"matched"
"AGN",-0.06,-1.06,0.62,"matched"
"AGN",0,-0.9,0.47,"matched"
"AGN",0.68,0.39,0.59,"matched"
"NoAGN",-0.68,0.41,-0.58,"matched"
"NoAGN",0.62,-1.05,0.37,"matched"
"NoAGN",1.61,-0.63,0.53,"matched"
"NoAGN",1.89,-0.46,0.63,"matched"
"AGN",0.9,-1.11,0.78,"matched"
"AGN",0.07,-0.51,-0.02,"matched"
"AGN",-0.28,-1.31,0.29,"matched"
"NoAGN",-0.44,-0.53,0.19,"matched"
"NoAGN",1.92,-0.42,0.74,"matched"
"NoAGN",1.14,-0.94,0.56,"matched"
"AGN",1.5,-0.82,0.52,"matched"
"AGN",1.74,-1.04,0.93,"matched"
"NoAGN",0.03,0.24,0.51,"matched"
"AGN",-0.43,-0.88,0.31,"matched"
"AGN",1.06,0.34,0.91,"matched"
"NoAGN",3.23,-0.66,0.63,"matched"
"AGN",0.07,-0.03,0.44,"matched"
"AGN",0.98,-0.78,0.5,"matched"
