bpt lgm_tot_p50 sfr_tot_p50 color_gr type
0              0.6125910184 -0.9781536016  0.8589595691 matched      
0              2.1464364289 -0.5160310912  0.5823142488 matched      
1              0.5953394265 -0.6910427046  0.3785594900 matched      
0              2.1437683443  0.1431278944  0.5415602538 matched      
1              0.6591612211 -0.7128235313  0.9556786644 matched      
1              0.5750862394 -0.7163527315  0.7459794523 matched      
1              0.2198974870 -0.5168942662  0.4032452017 matched      
0             -0.1394753070 -0.2114468278  0.1833866552 matched      
0              0.5625644336 -0.0304891239  0.1465178575 matched      
0              1.7479822604 -0.0527589131  0.7846894075 matched      
0              0.9434031804 -1.1211002376  0.7423833624 matched      
0              0.8786414924  0.9210646778 -0.8112644257 matched      
1              0.7371420551  0.4674193243  0.6244021953 matched      
0              1.8582226619 -0.6988546302  0.5797021383 matched      
0              1.0674084725 -0.1261383563  0.7358606944 matched      
1              1.7901561874 -0.5686822202  0.6699442141 matched      
1              0.5675367729  0.8874564657  0.2084832037 matched      
0             -0.0574620270 -0.8356391907  0.5759538866 matched      
1             -0.5739486166  0.8034673133 -0.0365986928 matched      
0              0.7595479013 -0.4793085384  0.4842764181 matched      
0              0.4549011592 -0.9302760730  0.3716716337 matched      
0              0.1134166591 -0.1750218600  0.9403711900 matched      
0              1.7971599092 -0.5961750473  0.7314682912 matched      
0              1.0813855971 -0.4733785129  0.5430311509 matched      
0              1.1600334523  0.5721964098  0.8033292247 matched      
0             -0.1000907411  0.7151690558  0.4558170944 matched      
0              0.1415831424  0.7535613360  0.6958370759 matched      
0             -0.7767230405  0.8850165618 -1.2014173570 matched      
0              1.3510440490 -0.5010128650  0.4760038897 matched      
0             -0.7157512453 -0.3330094171  0.2351622346 matched      
0              0.2715006672  0.3631161563  0.3705202763 matched      
1             -0.0613125581 -1.0632126832  0.6221958496 matched      
1             -0.0027662943 -0.8952977203  0.4740004263 matched      
1              0.6754426005  0.3917986860  0.5876044064 matched      
0             -0.6810055082  0.4070388896 -0.5806429698 matched      
0              0.6236271863 -1.0457987318  0.3700992953 matched      
0              1.6058461211 -0.6319043751  0.5280330721 matched      
0              1.8881476554 -0.4617862120  0.6265121719 matched      
1              0.8967117012 -1.1136835620  0.7846133266 matched      
1              0.0747294335 -0.5062084904 -0.0177559932 matched      
1             -0.2760933624 -1.3133791773  0.2910867584 matched      
0             -0.4446677937 -0.5264363670  0.1913193556 matched      
0              1.9181029680 -0.4246459692  0.7448331669 matched      
0              1.1379307976 -0.9445994241  0.5640903404 matched      
1              1.4957573153 -0.8213821396  0.5166513714 matched      
1              1.7361881140 -1.0393064313  0.9340311161 matched      
0              0.0277347629  0.2388705842  0.5117365462 matched      
1             -0.4329646048 -0.8795744191  0.3102743581 matched      
1              1.0575547513  0.3357730142  0.9068550233 matched      
0              3.2256159809 -0.6579424271  0.6251782203 matched      
1              0.0683320945 -0.0290060438  0.4436948731 matched      
1              0.9776638112 -0.7780346863  0.4962008291 matched      
0             -0.4625560877 -0.6999065053  0.2817490976 matched      
1             -0.4882364012 -1.0818595596  0.6828171001 matched      
0              0.0440464615 -0.8358750657  0.4251412809 matched      
1              0.8008122540 -1.2053433191  0.7586443839 matched      
1              0.6770191959 -0.8988396705  0.3962356160 matched      
1              0.4321921216 -0.2033494297  0.7139037505 matched      
1              0.6576452639 -0.6791852037 -0.4938245339 matched      
1              0.3872288335 -0.8899707699  0.8678914652 matched      
1              1.2293126926 -0.7590869098  1.0370294206 matched      
1              1.6539929192 -0.7732547109  1.1044878068 matched      
0              2.0277976249 -0.3268412217  0.8664662166 matched      
0              1.4544626435 -0.9868236023  0.8735011626 matched      
1              0.3623064985  0.5080191524 -0.9949896231 matched      
0              0.0790044326 -1.3818951326  0.9320733013 matched      
0              0.6853266409 -0.6423262259  0.7411508520 matched      
1              0.6956957876  1.0404877532  0.2364758979 matched      
1              1.5451471982  0.2139417823  1.5160651158 matched      
1              0.4570841374 -0.3839753786  0.4080078652 matched      
1             -0.3516486650 -1.3943161836  0.7310473103 matched      
1              1.2519307727 -0.5670489451 -0.2048946863 matched      
1             -0.3844539770 -0.3967915520  0.3930351467 matched      
0              1.0030106142 -0.9592785002  0.5079122136 matched      
0              2.5373714501 -0.6048424980  0.6935445052 matched      
1             -0.2810353826  0.5174675406  0.1374439437 matched      
0              0.9032303168 -0.3283432993  1.1776066110 matched      
0              0.4730016872 -0.6830714040  0.0370222453 matched      
0             -0.1369284991 -1.0313287557  0.6714404715 matched      
0              0.2457293963  0.2302387061  0.4242790308 matched      
1             -0.4354204553 -1.0412622815  0.6143240138 matched      
0              0.5709325169  0.8888003923 -0.6142656496 matched      
1             -0.7312746461 -0.6578786771  0.2457121176 matched      
1              0.3812862816 -0.8618340677  0.6605152562 matched      
1             -1.5936723305  0.5922619788 -1.4337379528 matched      
1              1.8505519189 -0.5947508722  0.5665807214 matched      
1              0.0428943341 -0.5295460922  0.6736671055 matched      
0              2.0966827163 -0.8044169883  1.0022350950 matched      
0              0.8841292571  0.0194609174  0.1877435540 matched      
0             -0.0148636320  0.8459578347 -0.3834818878 matched      
0              1.3104770366 -0.1884509261  1.0302075010 matched      
1              1.0905419781 -0.8152481141  0.9331384337 matched      
1              0.1467373966  0.4009559917  0.0078781936 matched      
0              0.3743128789 -1.1526182400  0.7506761790 matched      
0              1.4977886979 -0.6425621009  0.7234899422 matched      
0              0.0958315566 -0.5506358688  0.4597935888 matched      
0             -0.4797167222 -0.2258817414  0.2231262383 matched      
0              1.6809163175  0.3942322786  0.8986991523 matched      
0              1.6502636647 -0.4515938612  0.7843546516 matched      
0             -0.7574097468 -0.6399432507  0.6056761530 matched      
1              0.9996451894 -0.5374816928  0.6189852362 matched      
1             -0.1567268990 -1.1117468369  0.6101953577 matched      
0              1.4068919092 -0.2951238092  0.6315081501 matched      
0              0.9672643454 -0.8917226200  0.6809100059 matched      
1              0.4938915762 -1.1679615912  0.6222770025 matched      
0             -0.3022284630 -1.3163129526  1.8276467794 matched      
0              0.4044501064 -1.2710988991  0.6332884429 matched      
0              0.6466697344 -0.6891467795  0.7760719790 matched      
0              0.0872209202 -0.2907760589  0.8225827611 matched      
0             -0.1808609363 -0.5121423409  0.6241333762 matched      
0              0.4745479634 -0.2292047742  0.2528637209 matched      
0              0.8368617143 -0.3864337062  0.7355918752 matched      
1             -0.3626545137 -1.3887316831  0.7097345179 matched      
0              0.8962265949 -0.3890140514  0.4601029844 matched      
0              0.9408260533  0.3862296130  0.4326834328 matched      
1             -0.9543932145 -1.0233753051  0.3175578350 matched      
0              2.1010789919 -0.4389637103  0.5263643646 matched      
0              2.2697746999 -0.5610360446  1.4970956147 matched      
0              0.9728127485 -0.9768594765  0.8929068608 matched      
0             -0.2454407095  0.0563140302  0.2053689594 matched      
1              0.8109388476 -1.0853058849  0.6644461020 matched      
0              1.3916110614 -0.7416079335  0.5324812679 matched      
1             -0.8150767555 -1.3572736057  0.3094729727 matched      
0              0.8610867090 -1.1007588860  0.6394256344 matched      
1              1.7561077905 -0.5289085922  0.5028705868 matched      
0             -0.6163954158 -0.7914884873  0.4669604083 matched      
0              1.6815227004 -0.8596410675  0.8385901797 matched      
0              2.0252811361 -0.6212249743  0.6880058166 matched      
0              0.9266366947  1.1269610649  0.9014177760 matched      
0              1.2968637417 -0.6410512258  0.7745706495 matched      
0              0.8789446838 -0.5995588976  0.8710615022 matched      
1              2.6938485436 -0.7186056567  0.9037813555 matched      
0              2.5877315455 -0.4047933251  0.8114698796 matched      
0              1.4607083868 -0.7345176579  0.8105467649 matched      
0             -0.0815051069 -0.0908564261  0.6726983422 matched      
0              0.0469267800 -0.5178224663 -0.1733059022 matched      
0              0.0841890059 -0.6771337285  0.7406842226 matched      
1             -0.4697114053 -0.1860019059 -0.9390752434 matched      
0              2.2486119385 -0.5387554179  0.7422565609 matched      
1             -0.0509130923 -0.8490534667  0.4778095427 matched      
0              1.4844179561 -0.5136965660  0.5461453952 matched      
0              1.3071722501 -0.6481160013  0.5379590918 matched      
0              1.2219451410 -0.8243477898  0.5943756053 matched      
1              0.3758591551  0.7339465432 -0.1235287140 matched      
0              0.8574787310  0.6174165833 -0.2429858503 matched      
0              0.4709096663 -0.8438846163  0.3998874985 matched      
1              0.5062011480  0.9536840126 -0.0867106369 matched      
0              1.1930509983 -0.5871021466 -0.0229447097 matched      
0             -0.3240279264 -0.6571022020  0.5679451053 matched      
0              1.1670371742 -0.5593071445  0.6898266858 matched      
0              1.1392648398 -0.7287584825  0.6182954361 matched      
0              2.9752101844 -0.5736368706  1.2978549885 matched      
0             -0.3921550392 -1.3442354547  0.6906179271 matched      
0              1.3481940496 -0.7780652863  0.7957972169 matched      
0              0.2097102552 -0.8556490422  0.6556663677 matched      
1              0.7826510878 -0.6960611050  0.8276396041 matched      
1              2.7270783236 -0.5867884966  0.6460142392 matched      
0              1.4160786093 -0.8410821661  0.5160579405 matched      
0             -0.0297503309  1.4936176880  0.4134248243 matched      
1             -0.1505114748  1.1882138546 -0.8880655448 matched      
0              2.7331724712  0.0407688465  0.8634990620 matched      
0              2.6912714165  0.0168300822  0.4427261098 matched      
0              1.4628913651 -0.5728399955  0.7161354565 matched      
0              0.4524453087 -1.0157444295  0.7479930598 matched      
0              1.3458291565 -0.1511300157  0.5370156888 matched      
1              0.2156224879 -1.0504473822  0.7130262842 matched      
1              0.4898591303 -0.1805100979  0.9499320214 matched      
1             -0.0610700050 -0.7850420868  0.4369236742 matched      
1              0.0738198593 -0.7249411322  0.5820352855 matched      
0              0.5057160417 -0.4454509108  0.3375924685 matched      
1              0.1850607925 -1.4231885608  0.7225718995 matched      
0              0.7700686437 -0.0938037163  0.4602044255 matched      
0              0.9458590309 -0.5545539441  0.2368258700 matched      
0             -0.2288561386 -0.6377171005  0.3597624389 matched      
0              2.7079772639 -0.5603857946  0.7658974285 matched      
0              1.9820763583 -0.8442428914  0.9828902616 matched      
0             -0.9105517347 -0.2006830220  0.4730468792 matched      
1             -0.3080800575 -0.4367260851 -0.8455718336 matched      
0              0.1886081321 -1.3093769520  0.8507022569 matched      
1              0.6403936720 -0.2369883948  0.2659496335 matched      
0              1.5858051681 -0.8735589686  0.8400965813 matched      
0             -0.3564997278 -1.1342391136  0.6724193790 matched      
0              1.9626417881 -0.5737809456  0.6004519322 matched      
0              1.0542196456 -0.6319094751  0.7557380940 matched      
0              1.9228933925 -0.8883196447  0.8378851635 matched      
0             -0.4358449233 -0.5380184679  0.3388199068 matched      
1              0.6811729184 -0.5539648941 -0.1882684765 matched      
0              0.4706671132 -0.6081549482  0.4049291253 matched      
1             -0.6311305190 -0.2164436807 -0.1183957902 matched      
0              0.8434106490 -0.3768789830 -0.1448770108 matched      
0             -8.7671298630 -2.5397520464  0.2837779213 matched      
0              5.4326373085  0.8107798723  0.9923242915 matched      
1              0.0125751918 -0.7985558129  0.5378069300 matched      
0             -0.3066247387  0.2472210699 -0.7729500911 matched      
1              0.8661803249  0.8636499954  0.5164231288 matched      
1              1.7193609900 -0.5719742705  0.5178280892 matched      
0             -1.0402873447  0.6990780445 -0.3891828822 matched      
0              2.3115544780 -0.6443458260  0.9381952766 matched      
0             -0.2653907051  0.0452658994  0.8125045797 matched      
0              1.6565397271 -0.6383291006  0.6322892472 matched      
0              0.0032065768 -0.0801841652  0.5724744541 matched      
1              0.5059585949 -0.0553471633 -0.3539422155 matched      
1             -0.3391571784 -1.0648574333  0.2492524148 matched      
0             -0.6432278568 -1.2474973723  0.4177969393 matched      
0             -0.4728039578 -0.1598003989  0.4734982925 matched      
0              2.2515832145 -0.6965966050  0.6404907668 matched      
0              0.2570687555  0.0669791510  0.6147703550 matched      
0              2.3446933006 -0.4730444629  1.0298321687 matched      
0             -0.5450847931  0.5377743397 -0.8391506067 matched      
1             -0.2937391032 -0.8189226644  0.5502436190 matched      
1              0.9349138205 -0.4476145859  0.7373620239 matched      
1              0.1972187685 -1.2454178471  0.5032560633 matched      
1              2.3051874581 -0.6080746232  0.6862001636 matched      
0              2.7625820393 -0.0135947351  0.8926938343 matched      
0              0.5368538009 -1.0719018088  0.7405878535 matched      
0              1.7488615155 -0.5672325451  0.7454621023 matched      
0              0.2854777919  0.0157694096  0.6034444470 matched      
1             -0.7380358149 -0.8343297656  0.1269599975 matched      
0             -0.3787539783 -0.7386626833  0.3171064217 matched      
0              2.2960007580 -0.2758942578  0.4028800134 matched      
1             -0.0920561684 -1.6105511001  0.8157912740 matched      
1             -0.7078682683 -1.1978399435  0.3924062113 matched      
0              1.4289945639  0.3890593482  0.7372859430 matched      
0              1.4210812678  0.3072846670  0.6898013255 matched      
0              0.6177452726  0.1010006162  0.4760495382 matched      
1              0.9107191450 -0.8078658636  0.6342521341 matched      
0              0.4474123310 -0.6952795299  0.6173723214 matched      
0             -0.5187980967  0.5314118342 -1.0019586323 matched      
1              0.6040410203 -0.7517237843  0.5201358761 matched      
1              1.2485350288 -0.8354173407  0.5390901610 matched      
0              0.3042756601 -0.4460170108  0.5520188397 matched      
0              1.0573121981 -0.2851223260  0.4717230718 matched      
0             -0.9748889547 -0.4375293352  0.2342847684 matched      
0              0.6129851673 -0.3651909296  0.6396843094 matched      
1              0.3828325579 -0.9832038770  0.4206271483 matched      
0             -0.7554996409 -0.7683140855  0.2758350767 matched      
0              0.4332229724 -0.0900063835  0.3329363182 matched      
0             -0.1355944568 -0.8213145646  0.4202061674 matched      
0              1.5472998573 -0.4167818961  0.6735960967 matched      
1             -1.2235968793  0.4682276743 -0.8789104781 matched      
0              2.2846007605 -0.1557948585  0.7048247646 matched      
1              0.2914809820 -1.0456827068  0.8621549664 matched      
0              2.0754896358 -0.1261315988  0.7971717450 matched      
0             -0.1519061554  1.1866119444 -0.4579194274 matched      
1             -0.3814827011 -0.6976166051  0.6125690814 matched      
1              1.6866163163 -0.6920231797  0.9745467243 matched      
0              2.3235305392 -0.5435009683  0.7079897295 matched      
1             -0.3089593126  1.5124074919 -0.6908841746 matched      
1              0.3860767061 -0.7648511853  0.5878681535 matched      
0              0.3593655417  0.1767922320  0.4896680169 matched      
0              0.6397872891 -0.2176736733  0.5150486008 matched      
0              0.8128489535 -0.7401391334  0.6473228304 matched      
0              0.5119314659 -0.5816362212  0.5222154203 matched      
0             -0.0871747865  1.3754853589 -0.8777946251 matched      
1             -0.7713262332 -1.2894550755  0.5089469136 matched      
1             -0.1525428574 -1.3850188828  0.9297350820 matched      
0              0.8103324647 -0.7673718605  0.7173020301 matched      
0              0.8800058538 -0.4195267163  0.5466272408 matched      
0             -0.1923518912 -0.4579663117  0.5474742747 matched      
0              0.2765033257 -0.5223181167  0.6341050444 matched      
1              0.3504820330 -1.1278551881  0.7101960752 matched      
0              0.0374065693 -0.1510379607  0.7970905920 matched      
1             -0.4947246977  1.3580942301 -0.7300911916 matched      
0              1.0148957180 -0.6401727507  0.6330297679 matched      
1             -0.3703252567 -1.2064002941  0.5695630921 matched      
0              2.2426390675 -0.7551267595  0.9247188156 matched      
0              0.3036389581 -1.2380139216  0.6817976163 matched      
0             -0.2087545472 -0.8543102921  0.6757111453 matched      
0              0.0736985827 -0.8309140403  0.5095961372 matched      
0              2.2461257688 -0.2523503610  0.7030850484 matched      
0              0.9766632795 -1.0235525301  0.5428840612 matched      
1              1.0332691183 -0.8403809161  0.7694377257 matched      
1              0.7134324858 -0.4289065095  0.3118365523 matched      
0              0.7620037518 -0.7224191820  0.6315132222 matched      
0              0.4628447745  0.1888446804  0.7048704132 matched      
1              0.7291681207  0.9949346772 -0.3018673846 matched      
0              1.9355061557 -0.5105995908  0.7378134371 matched      
1              0.3197081036 -0.1832473957  0.5235087954 matched      
0              0.4342841424 -0.9881394024  0.7111394782 matched      
1              0.7200723780  0.8708102047 -0.9495642616 matched      
0             -0.2698779382 -0.8837653444  0.4153065582 matched      
1              1.9447231749 -0.9045299960  0.7906034284 matched      
1              0.3972947888  0.1482323573  0.7588371222 matched      
1              0.2560682238  0.4926597362  0.5272824073 matched      
0              1.5960833573 -0.8333951905  0.8433376270 matched      
1             -0.2460470923 -0.6508521515  0.5191874010 matched      
0              1.7548343865 -0.3706465275  0.6153130654 matched      
1              0.1043512356 -0.2741865226  0.4234370690 matched      
0              0.1037448527  1.5065743665  0.3301061092 matched      
1             -0.0162886317 -0.9735164263  0.6137001506 matched      
0              0.7200420589  1.4430557741  0.2586864448 matched      
1             -0.3211779270 -0.6725654032 -0.2698068989 matched      
1              0.2845682176  1.8074626596 -1.2766004893 matched      
0              2.2404257701 -0.1546434060  0.8840611897 matched      
0              0.6961808938 -0.8584298174  0.7851560369 matched      
0              0.0079363630 -0.6605383273  1.0722650152 matched      
1              0.2601916272 -1.2459877722  0.6920178154 matched      
0             -0.4705603412 -0.8181410894  0.8524622614 matched      
0              1.0881770850 -1.0550514075  0.6545099382 matched      
0              0.7196479100 -0.9638187755  0.6103323033 matched      
1              0.1699012213 -0.9112543465  0.8346238295 matched      
0              2.3171028810 -0.6725577532  1.3342115083 matched      
1              1.5523631541 -0.6252832996  0.6113264269 matched      
1              1.7578359816 -0.0575048460  0.4160775112 matched      
0              1.7263343928 -0.5229313917  0.7615912503 matched      
1              2.0664545314 -0.8466347915  1.3917134425 matched      
0             -0.6445315799  0.9981200100 -0.5996784076 matched      
0              0.4252187189 -0.5286421171  0.1824736845 matched      
0              0.2410602484 -1.0098603041  0.4996092528 matched      
0             -0.4081635463 -0.4957318146  0.5126850212 matched      
0              1.1972047208 -0.2751995102  0.7366215032 matched      
1             -0.2689380448 -0.4377295102  0.1341166729 matched      
1              0.0480485883 -0.6832754040  0.3168376026 matched      
0              2.8946825424 -0.3340744247  0.8538215732 matched      
0             -0.3400667527 -1.8193463912 -0.7633537553 matched      
1             -0.1187976519 -0.1671264219  0.3558163769 matched      
1              0.8066638485 -0.9152642218  0.9487299434 matched      
1             -0.2804593188 -0.0581835286 -0.0607416942 matched      
0              1.1255605875 -0.6172533489  0.3792543621 matched      
1              1.2672722588 -0.4109601181  0.4997208381 matched      
0              2.0421082601 -0.8171886643  0.9070426895 matched      
1              1.3330951167 -0.5335444925 -0.6593866875 matched      
0              0.4143038276 -0.7735211859  0.4040516591 matched      
1              1.6734881277 -0.7805948865  0.5470989423 matched      
0              0.4212165921 -0.9324257231  0.5890296550 matched      
1             -0.6096342471 -0.7908573623  0.7702695434 matched      
1              0.0905257067 -0.4448758857  0.6070050325 matched      
0              0.2369974833 -0.5872347466  0.6197967656 matched      
0             -0.9519373640 -1.0476717070  0.3923199863 matched      
0             -0.1057604207 -0.6972608801  0.6325479222 matched      
1              0.7487542866 -1.0125824293  0.7346281840 matched      
1              0.5359745458 -0.8454362915  0.3147631304 matched      
1             -0.1330476488 -0.7840131617  0.2440180498 matched      
0              0.4195793584 -0.2629494368  0.7635490651 matched      
