"","AGN","lgm_tot_p50","sfr_tot_p50","color_gr","Galaxy","type"
"18","No",0.612591018448237,-0.978153601631777,0.858959569115717,"E","Before PSM"
"22","No",2.14643642886246,-0.516031091181898,0.582314248755989,"E","Before PSM"
"27","No",-0.711264012196688,1.24059353607053,-1.24442334625707,"S","Before PSM"
"33","No",-0.972615019070983,1.40225322097161,-1.337485486916,"S","Before PSM"
"41","No",0.56044209364269,1.61149922452308,-0.91991807607949,"S","Before PSM"
"43","No",-0.37593429804011,1.54793536964703,-1.19883060686405,"S","Before PSM"
"49","No",-0.276911979194235,1.22910310768909,-0.340065061769999,"S","Before PSM"
"54","No",-0.0742285127261745,2.11833764590316,-1.22963829393417,"S","Before PSM"
"60","Yes",0.595339426463143,-0.691042704607214,0.378559489951176,"S","Before PSM"
"62","No",-0.728333689327805,1.49976395345175,-1.34453564908716,"S","Before PSM"
"63","No",-0.368475789027227,1.66809749886479,-1.66969521489066,"S","Before PSM"
"65","No",2.14376834433753,0.143127894382846,0.541560253759559,"E","Before PSM"
"71","Yes",0.659161221065279,-0.712823531278043,0.955678664397222,"S","Before PSM"
"75","No",-0.781543784114857,0.934744102858516,-1.04300173464557,"S","Before PSM"
"88","No",1.37084244894931,-0.53867636791904,0.632826885491438,"E","Before PSM"
"97","No",-0.359774195178855,1.90197752430596,-1.56208133662816,"S","Before PSM"
"99","No",-0.267513045072306,1.65117990506702,-1.43218083061026,"S","Before PSM"
"101","Yes",0.575086239387503,-0.716352731548771,0.745979452308574,"S","Before PSM"
"106","Yes",0.219897487005556,-0.516894266248113,0.403245201668372,"S","Before PSM"
"109","No",-0.139475307017764,-0.211446827816935,0.183386655170504,"E","Before PSM"
"111","No",2.66231663558707,0.0944364056476733,0.640947252136042,"E","Before PSM"
"122","No",0.562564433605707,-0.0304891239354889,0.146517857456864,"S","Before PSM"
"127","No",1.74798226037731,-0.0527589131438266,0.784689407481276,"E","Before PSM"
"128","No",0.71513035780425,1.28810628721528,0.133766700839429,"S","Before PSM"
"134","No",-1.69545369133201,1.09577201246113,-1.38166819387481,"S","Before PSM"
"135","No",0.943403180397822,-1.12110023759736,0.742383362395365,"E","Before PSM"
"140","No",0.130546974562569,1.56121245566553,-0.605135943227171,"S","Before PSM"
"141","No",0.878641492383496,0.921064677809154,-0.811264425698242,"S","Before PSM"
"144","No",-0.414773119363309,-1.20158844377169,0.604276264727919,"E","Before PSM"
"146","No",-1.00341926767705,1.26288410778046,-0.741351162844352,"S","Before PSM"
"148","No",0.0760331566553798,1.52584969045282,-0.436292167317249,"S","Before PSM"
"149","No",0.265345881356437,1.84684040007633,-1.11222519745968,"S","Before PSM"
"150","No",0.348753841902977,1.28295936682046,-0.774831825068551,"S","Before PSM"
"152","No",0.362579370804911,1.48122787452983,-0.717791448250895,"S","Before PSM"
"153","Yes",0.737142055134963,0.467419324259566,0.624402195299917,"S","Before PSM"
"160","No",1.85822266188484,-0.698854630206474,0.579702138311289,"E","Before PSM"
"174","No",1.06740847252263,-0.126138356272837,0.735860694372306,"E","Before PSM"
"179","No",0.571205389169418,0.964145299113911,0.544020202430778,"S","Before PSM"
"187","Yes",1.79015618735668,-0.568682220220819,0.66994421410178,"E","Before PSM"
"209","Yes",0.567536772947631,0.887456465731034,0.208483203676098,"S","Before PSM"
"218","No",-0.195596039468379,0.679122252999509,-0.193152869477289,"S","Before PSM"
"220","No",-0.0574620270183448,-0.835639190699355,0.575953886624635,"E","Before PSM"
"224","No",-1.550497871858,1.40586223624846,-1.84661370891312,"S","Before PSM"
"228","No",-0.877109720735251,1.26971721580464,-1.62529440938988,"S","Before PSM"
"229","No",-1.56262552878952,1.35378638725367,-2.311670809252,"S","Before PSM"
"231","Yes",-0.573948616589533,0.803467313288143,-0.0365986928052656,"S","Before PSM"
"272","No",0.741417054203324,1.55413340012249,-0.255366746593206,"S","Before PSM"
"273","No",-1.79186856393761,1.70879448198669,-2.26820326262857,"S","Before PSM"
"281","No",-1.17038678448177,1.23596770821568,-1.90239621507003,"S","Before PSM"
"283","No",0.759547901315953,-0.479308538364874,0.484276418104331,"S","Before PSM"
"286","No",3.47250475689739,-0.250450738308964,0.856139504247267,"E","Before PSM"
"295","No",-1.44432023542253,1.26259315275814,-1.55516304799403,"S","Before PSM"
"298","No",0.454901159196121,-0.930276072959044,0.371671633671737,"S","Before PSM"
"302","No",0.113416659146797,-0.175021860022739,0.940371189985384,"E","Before PSM"
"305","No",1.79715990923463,-0.596175047329821,0.731468291177907,"E","Before PSM"
"307","No",-0.490146507192718,0.872677926847358,-0.274108005026522,"S","Before PSM"
"339","No",0.0401049729957439,-1.17773701694202,0.634039107620164,"S","Before PSM"
"343","No",1.58195463698477,1.444494739212,-0.556773859556849,"S","Before PSM"
"348","No",-0.471166724094883,2.00573588476537,-1.26258131789207,"S","Before PSM"
"349","No",-0.25599177098736,-1.17196891649954,0.373842474973367,"S","Before PSM"
"359","No",-0.374448660066001,1.29179384249816,-0.459222946580343,"S","Before PSM"
"366","No",1.08138559713621,-0.473378512909976,0.543031150903157,"E","Before PSM"
"373","No",1.16003345233713,0.572196409797121,0.803329224732277,"E","Before PSM"
"379","No",-0.535928412109214,0.712104720529627,-0.11440915170262,"S","Before PSM"
