bpt lgm_tot_p50 logM200_L RprojLW_Rvir sfr_tot_p50 color_gr zoo distance weights
0              0.612591018  -1.4753450353 -0.971764267  -0.9781536016  0.858959569  E             0.5737174     1            
0              2.146436429   0.0450603176 -1.033630182  -0.5160310912  0.582314249  E             0.6251923     1            
1              0.595339426  -0.0925845822 -0.966021904  -0.6910427046  0.378559490  S             0.6736358     1            
0              2.143768344   0.6978303047 -0.682800276   0.1431278944  0.541560254  E             0.7642798     1            
1              0.659161221  -0.8551669876 -0.863874027  -0.7128235313  0.955678664  S             0.6275180     1            
1              0.575086239  -0.7365599191 -0.762276742  -0.7163527315  0.745979452  S             0.6449434     1            
1              0.219897487  -0.2968274028 -0.981686243  -0.5168942662  0.403245202  S             0.7249026     1            
0             -0.139475307  -0.2968274028 -0.833857703  -0.2114468278  0.183386655  E             0.8039084     1            
0              0.562564434  -0.2571997430 -0.478491688  -0.0304891239  0.146517857  S             0.8104223     1            
0              1.747982260  -0.2571997430 -0.960218978  -0.0527589131  0.784689407  E             0.7300849     1            
0              0.943403180  -0.2399553306 -0.376990785  -1.1211002376  0.742383362  E             0.5299241     1            
0              0.878641492  -0.2399553306 -0.896470338   0.9210646778 -0.811264426  S             0.9312877     1            
1              0.737142055   0.7668079544 -0.608038399   0.4674193243  0.624402195  S             0.8543880     1            
0              1.858222662  -1.4617219495 -0.930047303  -0.6988546302  0.579702138  E             0.5968227     1            
0              1.067408473  -0.0019479506 -1.013329177  -0.1261383563  0.735860694  E             0.7465094     1            
1              1.790156187  -1.2178514693 -0.860219744  -0.5686822202  0.669944214  E             0.6245961     1            
1              0.567536773  -0.1203825750 -0.838654479   0.8874564657  0.208483204  S             0.9122906     1            
0             -0.057462027   0.9526682313 -0.798984948  -0.8356391907  0.575953887  E             0.6596354     1            
1             -0.573948617   0.9526682313 -0.928853536   0.8034673133 -0.036598693  S             0.9289549     1            
0              0.759547901   0.7835005456 -0.860307747  -0.4793085384  0.484276418  S             0.7044926     1            
0              0.454901159   0.7835005456 -0.666123218  -0.9302760730  0.371671634  S             0.6270458     1            
0              0.113416659   0.7835005456 -1.023129366  -0.1750218600  0.940371190  E             0.7637183     1            
0              1.797159909   0.7835005456 -0.729048673  -0.5961750473  0.731468291  E             0.6136081     1            
0              1.081385597  -0.5539415917 -0.740821469  -0.4733785129  0.543031151  E             0.6877713     1            
0              1.160033452  -0.0891356998 -0.822251436   0.5721964098  0.803329225  E             0.8496534     1            
0             -0.100090741  -0.0891356998 -0.717469988   0.7151690558  0.455817094  S             0.9037934     1            
0              0.141583142   0.2627537798 -0.794183417   0.7535613360  0.695837076  S             0.8963449     1            
0             -0.776723040  -0.0368506413 -0.822249958   0.8850165618 -1.201417357  S             0.9540617     1            
0              1.351044049  -1.2478222580 -0.739302724  -0.5010128650  0.476003890  E             0.6737240     1            
0             -0.715751245  -1.2478222580 -0.721049912  -0.3330094171  0.235162235  S             0.8017037     1            
0              0.271500667  -0.4183660214 -0.650302700   0.3631161563  0.370520276  S             0.8627479     1            
1             -0.061312558  -0.4183660214 -0.855198340  -1.0632126832  0.622195850  E             0.6044014     1            
1             -0.002766294  -0.1367647668 -0.495355392  -0.8952977203  0.474000426  S             0.6504027     1            
1              0.675442600  -0.1367647668 -0.953953820   0.3917986860  0.587604406  S             0.8479143     1            
0             -0.681005508   0.7072457539 -0.800532399   0.4070388896 -0.580642970  S             0.9136875     1            
0              0.623627186   0.7072457539 -0.619718659  -1.0457987318  0.370099295  S             0.5914984     1            
0              1.605846121  -1.1431486748 -0.975864079  -0.6319043751  0.528033072  E             0.6287175     1            
0              1.888147655  -1.1431486748 -1.035847805  -0.4617862120  0.626512172  E             0.6472272     1            
1              0.896711701  -0.7700140791 -0.757996334  -1.1136835620  0.784613327  E             0.5311389     1            
1              0.074729434  -0.4193661973 -0.387734966  -0.5062084904 -0.017755993  S             0.7563362     1            
1             -0.276093362   0.3572186709 -0.600598002  -1.3133791773  0.291086758  S             0.5788387     1            
0             -0.444667794   1.1101786942 -0.654886167  -0.5264363670  0.191319356  S             0.7615571     1            
0              1.918102968  -0.9249723690 -0.865714913  -0.4246459692  0.744833167  E             0.6463074     1            
0              1.137930798   0.2258852261 -0.557568286  -0.9445994241  0.564090340  E             0.5757665     1            
1              1.495757315   1.1101786942 -0.707351579  -0.8213821396  0.516651371  E             0.5904320     1            
1              1.736188114  -0.9828791059 -0.978682525  -1.0393064313  0.934031116  E             0.4944738     1            
0              0.027734763   1.6154744664 -0.452808518   0.2388705842  0.511736546  S             0.8488492     1            
1             -0.432964605   1.6154744664 -0.856929112  -0.8795744191  0.310274358  S             0.6845382     1            
1              1.057554751   1.6154744664 -0.728352067   0.3357730142  0.906855023  S             0.8159875     1            
0              3.225615981   0.0013629765 -0.931813475  -0.6579424271  0.625178220  E             0.5327877     1            
1              0.068332095  -0.7330765478 -0.837578968  -0.0290060438  0.443694873  S             0.8133329     1            
1              0.977663811   2.4698316346 -0.583473098  -0.7780346863  0.496200829  S             0.6280294     1            
0             -0.462556088  -0.0366437084 -0.841154938  -0.6999065053  0.281749098  E             0.7245260     1            
1             -0.488236401  -0.0366437084 -0.853882332  -1.0818595596  0.682817100  S             0.6172032     1            
0              0.044046461  -1.5874337159 -0.820864181  -0.8358750657  0.425141281  S             0.6646247     1            
1              0.800812254  -0.7541492197 -0.859844397  -1.2053433191  0.758644384  S             0.5154439     1            
1              0.677019196   0.4017437438 -0.878066884  -0.8988396705  0.396235616  S             0.6216857     1            
1              0.432192122   0.4017437438 -0.866293377  -0.2033494297  0.713903750  S             0.7584011     1            
1              0.657645264   0.4017437438 -0.748787430  -0.6791852037 -0.493824534  S             0.7265862     1            
1              0.387228834   0.0052257249 -0.934194996  -0.8899707699  0.867891465  S             0.6056766     1            
1              1.229312693  -0.4500612514 -0.975333271  -0.7590869098  1.037029421  E             0.5822386     1            
1              1.653992919  -0.0329878930 -0.723309973  -0.7732547109  1.104487807  E             0.5520146     1            
0              2.027797625  -1.1380788175 -0.862125422  -0.3268412217  0.866466217  E             0.6549973     1            
0              1.454462643  -1.1380788175 -0.979088990  -0.9868236023  0.873501163  E             0.5266795     1            
1              0.362306499  -1.1380788175 -0.732466097   0.5080191524 -0.994989623  S             0.9137466     1            
0              0.079004433   1.5623616762 -0.815691666  -1.3818951326  0.932073301  E             0.4971732     1            
0              0.685326641   1.5623616762 -0.782053275  -0.6423262259  0.741150852  E             0.6566290     1            
1              0.695695788   1.5623616762 -0.616265067   1.0404877532  0.236475898  E             0.9211582     1            
1              1.545147198   0.1657022268 -1.024098992   0.2139417823  1.516065116  S             0.7481298     1            
1              0.457084137   1.1831570475 -0.631371659  -0.3839753786  0.408007865  S             0.7405948     1            
1             -0.351648665  -0.7190395961 -0.775250000  -1.3943161836  0.731047310  E             0.5313841     1            
1              1.251930773   1.1831570475 -0.539927775  -0.5670489451 -0.204894686  S             0.7066029     1            
1             -0.384453977  -0.7190395961 -0.806783021  -0.3967915520  0.393035147  S             0.7717242     1            
0              1.003010614   1.1831570475 -0.839026826  -0.9592785002  0.507912214  E             0.5831425     1            
0              2.537371450   1.1831570475 -0.932661771  -0.6048424980  0.693544505  E             0.5766400     1            
1             -0.281035383   0.2342660105 -0.967746984   0.5174675406  0.137443944  S             0.8980135     1            
0              0.903230317  -0.4493024972 -0.542385269  -0.3283432993  1.177606611  S             0.6869590     1            
0              0.473001687  -0.4493024972 -0.625406198  -0.6830714040  0.037022245  S             0.7022048     1            
0             -0.136928499  -0.4493024972 -0.805171196  -1.0313287557  0.671440472  S             0.6122969     1            
0              0.245729396  -0.3450427798 -0.453728989   0.2302387061  0.424279031  S             0.8450900     1            
1             -0.435420455  -0.3450427798 -0.512723582  -1.0412622815  0.614324014  E             0.6287092     1            
0              0.570932517  -1.0321636365 -0.503177213   0.8888003923 -0.614265650  S             0.9297058     1            
1             -0.731274646  -0.0028446601 -0.408072521  -0.6578786771  0.245712118  E             0.7456852     1            
1              0.381286282  -0.0028446601 -0.752622076  -0.8618340677  0.660515256  E             0.6268362     1            
1             -1.593672331  -0.0028446601 -0.543324761   0.5922619788 -1.433737953  S             0.9518266     1            
