bpt lgm_tot_p50 logM200_L RprojLW_Rvir sfr_tot_p50 color_gr zoo distance weights
1              0.595339426  -0.092584582  -0.9660219037 -0.691042705   0.378559490  S             0.36468261    1            
1              0.659161221  -0.855166988  -0.8638740270 -0.712823531   0.955678664  S             0.32384929    1            
1              0.575086239  -0.736559919  -0.7622767419 -0.716352732   0.745979452  S             0.34960177    1            
1              0.219897487  -0.296827403  -0.9816862433 -0.516894266   0.403245202  S             0.52180179    1            
0              0.562564434  -0.257199743  -0.4784916880 -0.030489124   0.146517857  S             0.60624433    1            
0              0.715130358  -0.257199743  -0.7324893328  1.288106287   0.133766701  S             0.89115308    1            
0              0.878641492  -0.239955331  -0.8964703385  0.921064678  -0.811264426  S             0.82504443    1            
1              0.737142055   0.766807954  -0.6080383986  0.467419324   0.624402195  S             0.70434257    1            
1              0.567536773  -0.120382575  -0.8386544794  0.887456466   0.208483204  S             0.84470095    1            
1             -0.573948617   0.952668231  -0.9288535359  0.803467313  -0.036598693  S             0.94476214    1            
0              0.759547901   0.783500546  -0.8603077468 -0.479308538   0.484276418  S             0.38880192    1            
0              0.454901159   0.783500546  -0.6661232179 -0.930276073   0.371671634  S             0.32394468    1            
0              0.040104973  -0.694345598  -0.8251956442 -1.177737017   0.634039108  S             0.33826915    1            
0              1.581954637  -0.548009514  -0.8628640977  1.444494739  -0.556773860  S             0.81549024    1            
0             -0.255991771  -0.548009514  -0.7766678468 -1.171968916   0.373842475  S             0.42371299    1            
0              0.442743183   1.367948171  -0.9370190869  0.867143432   0.926357091  S             0.84519977    1            
0              1.589322189   1.367948171  -0.8544580375 -0.426167044   1.010081570  S             0.20658618    1            
0              0.815880868  -0.387050168  -0.6782006448 -0.597254972   0.896330501  S             0.32397784    1            
0             -0.715751245  -1.247822258  -0.7210499125 -0.333009417   0.235162235  S             0.79787014    1            
0              0.082854964  -1.247822258  -0.9232272197 -1.408737710   0.698936104  S             0.25972639    1            
0              0.271500667  -0.418366021  -0.6503027001  0.363116156   0.370520276  S             0.77901329    1            
1             -0.002766294  -0.136764767  -0.4953553918 -0.895297720   0.474000426  S             0.44782625    1            
1              0.675442600  -0.136764767  -0.9539538200  0.391798686   0.587604406  S             0.69730854    1            
0              0.623627186   0.707245754  -0.6197186589 -1.045798732   0.370099295  S             0.25397181    1            
0              0.821065441  -1.143148675  -0.8651395599  0.662987127   0.575066276  S             0.74206622    1            
0             -0.658023598  -0.729765621  -0.7694967438 -1.310718252   0.488486227  S             0.47890613    1            
