bpt lgm_tot_p50 sfr_tot_p50 color_gr zoo RprojLW_Rvir logM200_L groupID distance weights
1             0.437710205 -0.307023513  0.033086327 S            3.97004779   14.59888        1         0.54921246   1           
1             0.600160170 -0.364475272  0.555599713 S            1.78848197   14.59888        1         0.46718733   1           
0             0.213257595  0.662544957 -1.088442312 S            3.80301334   14.59888        1         0.87506167   1           
1             1.156243560 -0.291800649  0.681330987 S            4.43620721   14.59888        1         0.34382358   1           
0            -0.613181587 -0.784937537  0.040760353 S            0.43389849   14.59888        1         0.65972497   1           
0             0.582271876 -0.688533504 -0.000921829 S            1.04557580   14.59888        1         0.38141288   1           
1            -1.080217655  0.671654322 -0.534198124 S            0.24706703   14.57871       26         0.96342998   1           
1            -0.889752803 -0.308148190 -0.154990697 S            0.97920030   14.57871       26         0.83892356   1           
1            -0.270302406 -1.329982229  0.656721356 S            3.58988282   14.57871       26         0.36537654   1           
1            -0.653263493  0.953859159 -0.970958207 S            3.64652946   14.57871       26         0.96326621   1           
1             0.977663811 -0.778034686  0.496200829 S            0.97734239   14.57871       26         0.24900317   1           
1             0.209012915 -1.015133704  0.755073654 S            4.71148830   14.49836       23         0.34438530   1           
1            -0.874593232 -0.827981540 -0.181436413 S            0.41720984   14.49836       23         0.71401488   1           
0             1.375026491 -0.630978725  0.768671845 S            1.51987915   14.49836       23         0.20333553   1           
0             0.550436777 -0.971703376  0.755905472 S            1.08856688   14.49836       23         0.27874106   1           
1             0.008178916 -0.966297376  0.770421705 S            1.18813654   14.49836       23         0.41044615   1           
1            -0.342886433 -1.397599309  0.426799844 S            0.50238174   14.49836       23         0.36927263   1           
0            -0.581225211 -1.359133831  0.363530979 S            0.88984020   14.49836       23         0.44607389   1           
0             1.808559907  0.768686751  0.273370056 S            4.97699501   14.49782       15         0.54603771   1           
0             0.745237266  0.449307565 -0.708403067 S            2.28711334   14.49782       15         0.73571896   1           
0             0.525787314  1.070584386  0.110293211 S            3.29560028   14.49782       15         0.88154126   1           
0            -1.523301601  0.800442172 -0.729360815 S            5.43939734   14.49782       15         0.98119395   1           
0             0.095740599 -0.721958907  0.281201315 S            0.41334341   14.49782       15         0.48826241   1           
1             0.261950137  0.449597628  0.061170319 S            3.73125424   14.48496       21         0.80759437   1           
1             0.281051197 -0.697728805  0.734268068 S            7.01761349   14.48496       21         0.43118316   1           
0             0.195854407 -1.292048426  0.456689489 S            1.76047129   14.48496       21         0.27444165   1           
1            -0.899909716  0.402636187  0.293166303 S            3.99926991   14.48496       21         0.92992980   1           
0             0.335565015  0.347862438  0.890776596 S            3.80914812   14.48496       21         0.74947057   1           
0             0.684265471  0.149740810  0.855576506 S            4.24667865   14.48496       21         0.61072347   1           
0            -0.129530628  0.464286522  0.879633282 S            2.24415949   14.48496       21         0.85313534   1           
1             1.102790912  0.032203396 -0.553598751 S            2.04082777   14.48496       21         0.50934479   1           
1             0.338202780 -0.930766948  0.596379069 S            0.40633612   14.48496       21         0.34459958   1           
0             0.572600070  1.458549193 -0.322277350 S            0.39754566   14.48496       21         0.92809022   1           
0            -0.440332156 -1.347848805  0.423680528 S            0.54613025   14.48496       21         0.41073391   1           
0            -0.909217692 -1.080398409  0.809288894 S            0.12322691   14.48496       21         0.61307994   1           
1             0.476973495  1.491330975 -0.575692640 S            1.30654355   14.48496       21         0.93947085   1           
1            -0.730486348 -0.297779762  0.310644618 S            0.61161103   14.48496       21         0.80645236   1           
1             0.840257458 -0.755960610  0.449228490 S            2.12820164   14.48298       80         0.28520350   1           
0             0.131790059  0.330896394 -0.257476723 S            5.79203841   14.48298       80         0.81072659   1           
1             0.234632590  1.054759594  0.345459232 S            5.02357800   14.48298       80         0.90591515   1           
0             0.470667113 -0.608154948  0.404929125 S            0.48414598   14.48298       80         0.42322791   1           
1             0.681172918 -0.553964894 -0.188268477 S            0.32538775   14.48298       80         0.40705338   1           
1             0.757213327  0.165002179 -0.180817622 S            4.33689085   14.47260       25         0.63195284   1           
0            -0.305593888 -0.781458062  0.634546314 S            4.75734704   14.47260       25         0.56257796   1           
1            -0.039998201 -0.023699748  0.520810460 S            3.97718631   14.47260       25         0.73802427   1           
1             1.028236141 -0.849209017  0.452555760 S            3.50731804   14.47260       25         0.22251567   1           
1             0.273441092 -0.827516165  0.212185807 S            0.45447896   14.47260       25         0.40733442   1           
0             0.630903780 -0.821363015  0.751660159 S            0.03998015   14.47260       25         0.30414791   1           
1             1.609363142 -0.419871604  0.149647318 S            0.87671391   14.47260       25         0.22513535   1           
0            -1.029402773 -0.515852591 -0.166494127 S            0.72938317   14.47260       25         0.81954683   1           
0             0.271561306  0.812912132 -0.062248096 S            1.63715096   14.46389        4         0.87509794   1           
1             0.720072378  0.870810205 -0.949564262 S            0.83683030   14.46389        4         0.84174111   1           
1            -0.176100831 -0.123841571  0.259853018 S            4.15809304   14.45620       32         0.74649286   1           
0            -0.023777460  1.015012359  0.204491493 S            3.84745796   14.45620       32         0.92466179   1           
1             0.934913821 -0.447614586  0.737362024 S            1.45850230   14.45620       32         0.34685585   1           
1            -0.293739103 -0.818922664  0.550243619 S            0.62679754   14.45620       32         0.54953472   1           
0            -2.039245478 -1.346693655 -0.937340599 S            6.57693663   14.43986        3         0.82546422   1           
0            -0.245016241 -0.637552626 -0.376791842 S            3.72817343   14.43986        3         0.62959391   1           
0             0.611529848  1.404249616 -0.273712384 S            0.32393097   14.43986        3         0.91934249   1           
1            -0.738035815 -0.834329766  0.126959998 S            1.16083888   14.42842       11         0.67159313   1           
0             0.480672430  1.183394354 -0.627640670 S            0.60456184   14.41467       18         0.91031394   1           
1             0.271955454 -1.293424151  0.673540304 S            0.17472460   14.41467       18         0.25221900   1           
0            -0.511673098  0.028748528  0.390346955 S            1.26543875   14.41467       18         0.83677812   1           
0             0.887858512  1.071920203  0.502226435 S            3.56158594   14.41185       28         0.82690101   1           
1             0.776041515 -0.567564045 -0.374392758 S            5.44287858   14.41185       28         0.38447346   1           
0            -0.625066691  0.561317344 -1.104627253 S            0.71725914   14.41185       28         0.93758902   1           
0            -0.280489638 -0.320214791 -0.584091970 S            7.04198870   14.41185       28         0.73871967   1           
1             1.030388800 -0.840233016  0.209807011 S            0.90136748   14.41185       28         0.23034607   1           
0            -0.409073121 -0.580747546  0.615054390 S            0.11375685   14.41185       28         0.65582396   1           
1             0.888313299 -0.159453344  0.798581777 S            2.86779223   14.40932       36         0.45243221   1           
0            -0.387849721 -0.325502089  0.332074068 S            2.33521541   14.40932       36         0.73439910   1           
1             0.431434143 -0.811632214  0.283808354 S            4.41330916   14.40932       36         0.36981529   1           
0             2.522575709  1.583633587 -0.061938700 S            6.80265904   14.40932       36         0.64510194   1           
0             1.444942433 -0.625004075  0.770969488 S            4.99900716   14.40932       36         0.19266530   1           
0            -0.306382186 -1.433536462  0.444709285 S            0.73915731   14.40932       36         0.34816659   1           
0            -0.951937364 -1.047671707  0.392319986 S            0.66230249   14.40932       36         0.64818106   1           
0             0.236997483 -0.587234747  0.619796766 S            0.11911864   14.40932       36         0.48506987   1           
1             0.090525707 -0.444875886  0.607005033 S            1.01752030   14.40932       36         0.57383677   1           
1            -0.609634247 -0.790857362  0.770269543 S            1.04278918   14.40932       36         0.63325681   1           
0            -0.335094413 -0.624499175  0.290417247 S            1.14843552   14.39986       14         0.63426308   1           
1             0.074092732 -0.947127749  0.718493964 S            0.09366982   14.39986       14         0.40156138   1           
0            -0.359895472  0.629751827 -0.443504635 S            5.82030963   14.38108       17         0.91874932   1           
0             0.550315500  0.669037895 -0.197986542 S            0.50636744   14.38108       17         0.81249706   1           
1             0.668317602 -0.646951926  0.476404582 S            0.81835470   14.38108       17         0.35750705   1           
1            -0.096118933 -0.600650298  0.564491033 S            1.03322179   14.36540       66         0.57143605   1           
1             0.058357097  1.436824594 -0.774715168 S            6.02416613   14.36540       66         0.95870771   1           
0             0.672198452 -1.198370344  1.672923616 S            0.34872446   14.36540       66         0.17839056   1           
