Price Mileage Cylinder Doors Cruise Sound Leather Buick Cadillac Chevy Pontiac Saab Saturn convertible coupe hatchback sedan wagon
22661.05 20105.00     6.00     4.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21725.01 13457.00     6.00     2.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
29142.71 31655.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
30731.94 22479.00     4.00     2.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
33358.77 17590.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
30315.17 23635.00     4.00     2.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
33381.82 17381.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
30251.02 27558.00     4.00     2.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
30166.85 25049.00     4.00     2.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
27060.14 17319.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
26841.08 10003.00     4.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
25790.51 21160.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
25148.38 22272.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
24173.53 27015.00     4.00     4.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
24852.50 22814.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
27825.95 10014.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
26698.08 23055.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
28185.78 19854.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
27241.44 23204.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
30800.66  8017.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
28416.46 14613.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
26653.24 22590.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
27610.86 22881.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
27788.81 26786.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
29986.79 18464.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
29197.79 20907.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
29908.18 19830.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
29481.53 21822.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
26792.30 25357.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
29321.08 21545.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
37383.50 16088.00     4.00     2.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
34393.00 24031.00     4.00     2.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
38324.81 12090.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
35304.49 21293.00     4.00     2.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
28777.96 48991.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
33248.34 27051.00     4.00     2.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
35580.33 21167.00     4.00     2.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00
30274.71 10800.00     4.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
30122.43 14568.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
32197.34  3867.00     4.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
27109.41 22598.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
30353.59 11273.00     4.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
27256.49 26400.00     4.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
28291.76 22328.00     4.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
24912.08 38717.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
33183.33  9795.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
28502.96 28598.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
35033.22  1676.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
29844.20 23143.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
30075.99 22052.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
28054.98 26276.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
28432.82 25247.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
